bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,-6.793944E-4,0.0,0.0,-0.00483
1,4.2733713E-4,0.0,1.528,0.00304
2,3.805835E-6,0.0,1.485,2.71E-5
3,-4.4998713E-4,0.0,1.578,-0.0032
4,-9.408077E-4,0.0,1.632,-0.00669
5,-2.2903726E-4,0.0,1.612,-0.00163
6,-0.0010486925,0.0,1.541,-0.00746
7,8.1674807E-4,0.0,1.63,0.00581
8,-0.0028743832,0.0,1.557,-0.0204
9,3.5959855E-4,0.0,1.55,0.00256
10,0.002641963,0.0,1.509,0.0188
11,3.2904616E-5,0.0,1.595,2.34E-4
12,0.0018934557,0.0,1.613,0.0135
13,0.011092291,1.415,0.0,0.0789
14,0.012878787,1.448,0.0,0.0916
15,0.005417976,1.528,0.0,0.0385
16,0.007909556,1.473,0.0,0.0563
17,0.0027055521,1.542,0.0,0.0192
18,-6.3642015E-5,1.429,0.0,-4.53E-4
19,0.0017216117,1.499,0.0,0.0122
20,0.0019573357,1.512,0.0,0.0139
21,-1.3872798E-4,1.502,0.0,-9.87E-4
22,0.0015673697,1.48,0.0,0.0112
23,0.002264049,1.398,0.0,0.0161
24,9.0933027E-4,1.426,0.0,0.00647
25,-5.210294E-4,0.0,0.0,-0.00371
26,9.8687415E-5,0.0,0.0,7.02E-4
27,1.8651235E-4,0.0,0.0,0.00133
28,-7.2884385E-4,0.0,0.0,-0.00518
29,1.9655553E-4,0.0,0.0,0.0014
30,-9.7077864E-4,0.0,0.0,-0.00691
31,-2.3342455E-4,0.0,0.0,-0.00166
32,-1.3505429E-4,0.0,0.0,-9.61E-4
33,-8.396623E-5,0.0,0.0,-5.97E-4
34,2.971987E-4,0.0,0.0,0.00211
35,2.1399894E-4,0.0,0.0,0.00152
36,4.643383E-4,0.0,0.0,0.0033
37,7.1737345E-4,0.0,0.0,0.0051
38,-6.9102336E-4,0.0,0.0,-0.00492
39,-3.3356558E-4,0.0,0.0,-0.00237
40,-8.0477555E-5,0.0,0.0,-5.73E-4
41,-1.9898702E-4,0.0,0.0,-0.00142
42,7.043438E-5,0.0,0.0,5.01E-4
43,8.022647E-4,0.0,0.0,0.00571
44,1.15470095E-4,0.0,0.0,8.21E-4
45,-8.484369E-4,0.0,0.0,-0.00604
46,-1.3434069E-4,0.0,0.0,-9.56E-4
47,-3.090655E-4,0.0,0.0,-0.0022
48,-4.514936E-4,0.0,0.0,-0.00321
49,3.7091033E-4,0.0,0.0,0.00264
50,6.8843324E-4,0.0,0.0,0.0049
51,-2.3860471E-4,0.0,0.0,-0.0017
52,-6.004233E-4,0.0,0.0,-0.00427
53,-3.5222474E-4,0.0,0.0,-0.00251
54,7.558811E-5,0.0,0.0,5.38E-4
55,7.994897E-4,0.0,0.0,0.00569
56,7.9446804E-4,0.0,0.0,0.00565
57,1.2078241E-5,0.0,0.0,8.59E-5
58,-8.743113E-4,0.0,0.0,-0.00622
59,-3.7899772E-5,0.0,0.0,-2.7E-4
60,2.4920292E-4,0.0,0.0,0.00177
61,-2.7520946E-4,0.0,0.0,-0.00196
62,-2.571053E-4,0.0,0.0,-0.00183
63,-3.4664813E-4,0.0,0.0,-0.00247
64,-4.743286E-4,0.0,0.0,-0.00337
65,3.875873E-4,0.0,0.0,0.00276
66,5.706374E-4,0.0,0.0,0.00406
67,7.4047275E-4,0.0,0.0,0.00527
68,-5.988904E-4,0.0,0.0,-0.00426
69,-5.610964E-5,0.0,0.0,-3.99E-4
70,-1.4853328E-4,0.0,0.0,-0.00106
71,2.4996937E-4,0.0,0.0,0.00178
72,-1.0357686E-4,0.0,0.0,-7.37E-4
73,3.5772205E-4,0.0,0.0,0.00254
74,9.544717E-4,0.0,0.0,0.00679
75,-4.530265E-4,0.0,0.0,-0.00322
76,-2.5668243E-4,0.0,0.0,-0.00183
77,-2.7565873E-4,0.0,0.0,-0.00196
78,3.6292867E-4,0.0,0.0,0.00258
