bunch_number,peak_lumi,intensity_beam_1,intensity_beam_2,pileup
0,6.9570134E-4,0.0,0.0,0.00495
1,3.7281326E-4,0.0,1.346,0.00265
2,-2.2517857E-5,0.0,1.404,-1.6E-4
3,6.928205E-4,0.0,1.453,0.00493
4,1.9681982E-4,0.0,1.457,0.0014
5,-5.667523E-4,0.0,1.732,-0.00403
6,-1.8667092E-4,0.0,1.74,-0.00133
7,-2.099288E-4,0.0,1.697,-0.00149
8,-0.0020929186,0.0,1.655,-0.0149
9,7.2868523E-4,0.0,1.479,0.00518
10,0.0037928582,0.0,1.458,0.027
11,-4.2440346E-4,0.0,1.353,-0.00302
12,-8.68259E-4,0.0,1.444,-0.00618
13,0.005139727,1.284,0.0,0.0366
14,0.004075468,1.362,0.0,0.029
15,-5.184922E-4,1.439,0.0,-0.00369
16,0.0024156217,1.485,0.0,0.0172
17,0.0016681979,1.719,0.0,0.0119
18,-0.0012294961,1.654,0.0,-0.00875
19,7.974017E-4,1.63,0.0,0.00567
20,0.0015557673,1.679,0.0,0.0111
21,5.3538056E-4,1.489,0.0,0.00381
22,-3.4477166E-4,1.499,0.0,-0.00245
23,7.350547E-4,1.462,0.0,0.00523
24,0.0018255586,1.463,0.0,0.013
25,5.455559E-4,0.0,0.0,0.00388
26,8.929705E-4,0.0,0.0,0.00635
27,8.22589E-4,0.0,0.0,0.00585
28,4.5455943E-4,0.0,0.0,0.00323
29,1.8516445E-4,0.0,0.0,0.00132
30,-2.7769382E-4,0.0,0.0,-0.00198
31,5.8078626E-4,0.0,0.0,0.00413
32,0.0012243688,0.0,0.0,0.00871
33,4.4422553E-4,0.0,0.0,0.00316
34,-2.4751143E-4,0.0,0.0,-0.00176
35,1.9018604E-4,0.0,0.0,0.00135
36,5.572641E-4,0.0,0.0,0.00396
37,6.7503355E-4,0.0,0.0,0.0048
38,2.2618289E-4,0.0,0.0,0.00161
39,6.5735227E-4,0.0,0.0,0.00468
40,0.0015792629,0.0,0.0,0.0112
41,-7.1354123E-4,0.0,0.0,-0.00508
42,-8.485955E-4,0.0,0.0,-0.00604
43,0.0011803638,0.0,0.0,0.0084
44,0.0015308707,0.0,0.0,0.0109
45,5.770069E-4,0.0,0.0,0.0041
46,4.8730546E-4,0.0,0.0,0.00347
47,2.2224491E-4,0.0,0.0,0.00158
